Locality,Property_Type,BHK,Bathrooms,Balconies,Area_SqFt,Age_Years,Floor_No,Total_Floors,Furnishing,Parking_Spaces,Distance_From_Metro_KM,Price_INR
Saket,Apartment,2,2,2,878.1,5,3,4,Unfurnished,2,0.02,9449000.0
Chattarpur,Apartment,4,4,0,942.0,5,3,6,Semi-Furnished,1,1.37,7068000.0
Janakpuri,Builder Floor,1,1,0,2058.0,8,13,14,Fully-Furnished,1,0.47,17079000.0
Vikaspuri,Apartment,4,3,3,1420.5,36,10,14,Unfurnished,0,4.84,7803000.0
Paschim Vihar,Apartment,3,3,3,690.7,16,5,11,Unfurnished,1,1.73,5167000.0
Uttam Nagar,Builder Floor,2,2,1,1223.2,26,14,23,Semi-Furnished,0,1.09,4777000.0
Vasant Vihar,Apartment,4,4,1,1233.0,36,14,18,Unfurnished,1,0.64,20077000.0
Vikaspuri,Apartment,2,2,1,1735.8,8,5,12,Semi-Furnished,0,2.6,10168000.0
Shahdara,Apartment,2,2,1,1186.2,12,6,14,Semi-Furnished,1,0.71,6837000.0
Rohini,Apartment,3,2,3,908.9,13,6,11,Fully-Furnished,2,1.3,7080000.0
Vikaspuri,Apartment,2,2,0,1029.0,4,2,9,Unfurnished,1,0.2,6057000.0
Paschim Vihar,Independent House,3,3,0,2107.9,13,8,12,Semi-Furnished,1,5.98,17328000.0
Vasant Vihar,Apartment,3,3,3,1027.8,6,8,13,Semi-Furnished,0,3.2,20202000.0
Model Town,Apartment,3,3,2,954.4,32,9,17,Unfurnished,1,0.04,9114000.0
Dwarka,Apartment,3,3,2,585.6,15,0,1,Semi-Furnished,0,2.78,4438000.0
Shahdara,Apartment,2,2,0,837.1,5,9,11,Semi-Furnished,1,2.4,4729000.0
Defence Colony,Apartment,3,3,0,1002.6,30,1,4,Unfurnished,1,2.21,13809000.0
Vikaspuri,Apartment,2,2,2,300.0,0,9,15,Unfurnished,1,0.2,2291000.0
Saket,Apartment,3,2,0,1137.4,15,5,8,Semi-Furnished,1,2.83,13409000.0
Greater Kailash,Apartment,3,3,2,793.4,3,1,4,Fully-Furnished,0,2.39,14327000.0
Saket,Apartment,2,2,0,782.5,14,2,7,Unfurnished,1,6.79,6874000.0
Uttam Nagar,Independent House,1,1,2,2552.3,4,13,19,Fully-Furnished,1,4.4,13181000.0
Golf Links,Villa,4,2,1,3170.5,28,10,15,Semi-Furnished,0,3.36,84727000.0
Golf Links,Apartment,2,2,0,1202.1,17,12,20,Unfurnished,0,1.95,17631000.0
Shahdara,Villa,2,2,1,3631.1,13,3,6,Unfurnished,1,1.04,24485000.0
Chattarpur,Apartment,2,2,0,1004.8,29,1,4,Unfurnished,1,0.33,5551000.0
Shahdara,Apartment,3,3,1,1279.0,3,4,13,Semi-Furnished,1,3.69,8134000.0
Lajpat Nagar,Apartment,2,2,2,1500.0,17,9,16,Unfurnished,1,1.25,12629000.0
Golf Links,Independent House,4,3,1,1684.0,35,12,16,Unfurnished,0,2.98,32506000.0
Dwarka,Apartment,3,2,1,1419.3,8,10,17,Unfurnished,1,2.28,10874000.0
Paschim Vihar,Apartment,3,2,0,715.8,18,11,12,Unfurnished,1,1.63,4923000.0
Hauz Khas,Independent House,4,4,1,2583.9,31,9,11,Semi-Furnished,1,0.43,35834000.0
Shahdara,Builder Floor,3,3,3,1634.1,35,11,15,Semi-Furnished,1,4.22,7137000.0
Rohini,Builder Floor,2,2,0,1460.7,7,8,12,Semi-Furnished,2,2.81,7819000.0
Model Town,Independent House,3,2,1,2169.4,30,10,17,Fully-Furnished,1,0.88,20086000.0
Chattarpur,Apartment,3,3,1,1020.6,28,9,16,Semi-Furnished,0,4.75,6558000.0
Greater Kailash,Apartment,3,3,0,757.7,0,6,9,Unfurnished,1,3.21,11606000.0
Vikaspuri,Independent House,3,3,2,2098.4,33,6,15,Unfurnished,1,2.96,13897000.0
Rohini,Builder Floor,4,2,1,1477.3,35,0,7,Unfurnished,1,0.23,9838000.0
Dwarka,Apartment,1,1,0,1183.3,20,6,12,Unfurnished,1,0.88,7115000.0
Mayur Vihar,Apartment,3,3,1,1079.5,29,12,15,Unfurnished,1,1.92,5974000.0
Hauz Khas,Apartment,3,3,2,994.7,11,12,15,Semi-Furnished,2,1.78,15048000.0
Defence Colony,Builder Floor,2,2,0,1500.2,2,10,13,Unfurnished,2,1.47,24069000.0
Karol Bagh,Builder Floor,2,2,1,1370.9,15,12,17,Unfurnished,2,0.92,12010000.0
Model Town,Apartment,2,2,2,1332.8,21,1,9,Semi-Furnished,2,5.63,12655000.0
Chattarpur,Apartment,2,2,0,1341.9,27,0,5,Semi-Furnished,0,0.35,6699000.0
Model Town,Builder Floor,2,2,1,922.3,10,14,16,Semi-Furnished,1,0.58,10672000.0
Uttam Nagar,Builder Floor,2,2,1,1399.7,14,9,10,Semi-Furnished,2,2.36,6702000.0
Karol Bagh,Independent House,2,2,1,1431.2,30,8,12,Semi-Furnished,1,2.23,10670000.0
Rohini,Apartment,3,3,2,1349.0,3,4,12,Unfurnished,0,3.61,8450000.0
Lajpat Nagar,Builder Floor,3,3,2,1436.1,17,13,18,Fully-Furnished,1,0.52,12553000.0
Najafgarh,Villa,2,2,0,3584.6,39,13,16,Unfurnished,1,2.9,12385000.0
Saket,Independent House,4,2,2,1627.8,31,9,10,Semi-Furnished,2,1.63,18887000.0
Model Town,Apartment,3,3,1,1417.4,4,8,11,Semi-Furnished,0,0.76,15702000.0
Vikaspuri,Builder Floor,4,4,1,1921.4,29,4,5,Unfurnished,2,1.02,14099000.0
Model Town,Builder Floor,2,2,1,797.5,12,13,18,Fully-Furnished,0,0.32,8931000.0
Najafgarh,Independent House,3,3,2,1572.9,19,5,13,Unfurnished,0,1.91,5998000.0
Paschim Vihar,Apartment,2,2,2,1309.0,22,12,21,Fully-Furnished,1,1.06,12300000.0
Golf Links,Apartment,2,2,0,1166.5,7,11,16,Fully-Furnished,1,0.71,19809000.0
Rohini,Villa,2,2,2,2705.7,30,12,17,Unfurnished,1,2.02,20822000.0
Greater Kailash,Builder Floor,4,3,1,1663.1,25,7,9,Unfurnished,2,1.03,22437000.0
Karol Bagh,Apartment,2,2,3,1385.9,29,8,13,Semi-Furnished,1,0.41,10886000.0
Hauz Khas,Apartment,2,2,3,1488.0,7,13,20,Unfurnished,0,0.43,20916000.0
Greater Kailash,Apartment,5,3,3,931.2,15,5,10,Unfurnished,2,1.2,19410000.0
Vikaspuri,Builder Floor,2,2,1,1613.5,21,2,7,Unfurnished,1,1.82,10435000.0
Golf Links,Apartment,3,3,1,1241.9,14,9,12,Unfurnished,1,4.29,19729000.0
Dwarka,Apartment,4,3,0,1039.2,8,6,15,Unfurnished,0,1.08,8864000.0
Vikaspuri,Apartment,4,3,2,589.8,20,2,7,Unfurnished,2,1.51,4102000.0
Golf Links,Apartment,3,3,1,1578.2,19,8,15,Unfurnished,2,2.01,33370000.0
Uttam Nagar,Apartment,1,1,1,1307.6,38,2,3,Semi-Furnished,2,4.53,4609000.0
Greater Kailash,Apartment,2,2,1,936.2,13,3,7,Unfurnished,1,1.65,13616000.0
Vasant Vihar,Apartment,2,2,0,1163.6,22,12,19,Semi-Furnished,2,1.03,17070000.0
Chattarpur,Apartment,3,3,1,831.0,16,14,18,Unfurnished,1,1.72,5707000.0
Hauz Khas,Apartment,3,3,3,780.3,22,8,10,Semi-Furnished,0,0.85,8935000.0
Model Town,Apartment,3,3,1,1309.2,31,9,15,Unfurnished,1,0.82,11240000.0
Lajpat Nagar,Apartment,2,2,1,1042.2,6,3,10,Fully-Furnished,1,2.47,10980000.0
Najafgarh,Apartment,3,2,2,1135.8,14,0,1,Fully-Furnished,0,4.63,4488000.0
Golf Links,Apartment,3,3,2,906.2,25,8,12,Unfurnished,0,1.24,13846000.0
Chattarpur,Apartment,3,3,0,1304.5,38,8,12,Semi-Furnished,1,1.66,7393000.0
Paschim Vihar,Apartment,2,2,0,499.9,30,5,11,Fully-Furnished,0,0.01,3543000.0
Mayur Vihar,Apartment,3,3,1,1135.0,2,13,16,Unfurnished,2,1.7,7921000.0
Vikaspuri,Apartment,2,2,1,969.0,13,14,18,Semi-Furnished,1,6.51,6070000.0
Rohini,Apartment,2,2,2,1275.8,5,6,11,Unfurnished,2,5.99,7776000.0
Golf Links,Builder Floor,4,2,0,1485.4,34,5,10,Semi-Furnished,1,0.49,29288000.0
Dwarka,Apartment,2,2,0,1148.1,38,13,20,Unfurnished,1,1.2,5640000.0
Najafgarh,Builder Floor,4,3,1,1476.3,11,8,14,Semi-Furnished,2,0.26,7474000.0
Rohini,Builder Floor,2,2,1,1899.3,35,8,10,Fully-Furnished,1,1.74,9771000.0
Uttam Nagar,Villa,1,1,1,2996.5,14,11,16,Fully-Furnished,2,0.49,21092000.0
Saket,Independent House,1,1,0,2203.6,0,8,9,Unfurnished,1,0.38,27244000.0
Shahdara,Independent House,4,2,2,1730.5,20,12,21,Unfurnished,1,0.21,10653000.0
Mayur Vihar,Builder Floor,4,4,0,1236.7,28,14,17,Fully-Furnished,2,0.19,8006000.0
Mayur Vihar,Apartment,3,3,1,1111.0,3,1,9,Unfurnished,1,3.88,7424000.0
Shahdara,Apartment,2,2,0,485.7,28,4,8,Unfurnished,1,2.86,2272000.0
Chattarpur,Independent House,2,2,0,1229.8,5,10,12,Semi-Furnished,1,2.4,10121000.0
Paschim Vihar,Apartment,3,3,1,1360.0,26,11,14,Semi-Furnished,1,10.38,10325000.0
Rohini,Apartment,3,3,2,961.2,0,0,7,Fully-Furnished,2,0.81,7179000.0
Uttam Nagar,Builder Floor,2,2,1,1982.4,38,8,11,Unfurnished,0,0.02,7908000.0
Shahdara,Apartment,1,1,1,1020.0,22,13,22,Fully-Furnished,1,2.49,4953000.0
Defence Colony,Builder Floor,2,2,2,1466.1,16,3,6,Unfurnished,1,4.11,22620000.0
Uttam Nagar,Apartment,2,2,2,885.3,37,14,17,Unfurnished,1,2.42,3834000.0
Saket,Villa,3,3,1,2957.1,35,12,16,Semi-Furnished,1,3.12,34323000.0
Janakpuri,Apartment,2,2,1,1252.9,17,13,15,Fully-Furnished,1,0.21,9680000.0
Dwarka,Independent House,1,1,1,1807.4,14,14,23,Fully-Furnished,0,4.67,13742000.0
Greater Kailash,Villa,5,5,2,3460.3,23,7,13,Unfurnished,1,3.52,52785000.0
Golf Links,Builder Floor,3,3,1,1413.7,36,9,17,Unfurnished,0,0.34,22384000.0
Vasant Vihar,Apartment,3,3,0,1392.6,6,13,22,Unfurnished,0,0.71,25136000.0
Karol Bagh,Apartment,2,2,1,980.1,12,2,6,Fully-Furnished,1,0.26,9149000.0
Lajpat Nagar,Villa,3,3,2,2802.1,21,14,19,Unfurnished,1,3.88,35987000.0
Lajpat Nagar,Apartment,2,2,3,1201.3,29,12,13,Unfurnished,2,1.8,10317000.0
Paschim Vihar,Independent House,2,2,0,1687.3,35,9,15,Unfurnished,0,0.61,11470000.0
Chattarpur,Apartment,2,2,0,847.9,34,4,6,Fully-Furnished,1,0.18,4799000.0
Golf Links,Apartment,3,3,2,1077.7,30,11,19,Unfurnished,1,0.2,18593000.0
Golf Links,Builder Floor,2,2,0,1716.2,19,12,17,Unfurnished,0,0.01,27116000.0
Chattarpur,Independent House,5,4,1,1443.8,3,6,11,Semi-Furnished,2,2.46,10987000.0
Najafgarh,Apartment,3,3,2,872.4,0,14,17,Unfurnished,0,4.69,3653000.0
Chattarpur,Apartment,4,3,2,1325.9,22,10,12,Unfurnished,1,1.72,8835000.0
Mayur Vihar,Apartment,2,2,1,598.6,0,11,16,Fully-Furnished,1,0.54,5216000.0
Greater Kailash,Builder Floor,3,3,2,1219.7,13,2,6,Fully-Furnished,1,0.53,20054000.0
Uttam Nagar,Independent House,3,3,1,2377.7,32,3,9,Semi-Furnished,0,0.47,12014000.0
Greater Kailash,Independent House,2,2,2,1951.6,32,5,7,Unfurnished,1,0.56,28527000.0
Pitampura,Apartment,3,2,2,1038.4,16,6,7,Unfurnished,0,0.15,7142000.0
Model Town,Apartment,3,3,2,620.6,34,1,6,Unfurnished,0,4.13,4974000.0
Hauz Khas,Apartment,1,1,1,850.8,14,11,13,Semi-Furnished,0,1.11,9589000.0
Vasant Vihar,Villa,2,2,2,3498.0,9,13,17,Unfurnished,1,1.81,75823000.0
Model Town,Apartment,3,3,1,635.9,33,5,9,Unfurnished,0,4.22,5234000.0
Saket,Apartment,2,2,2,1271.4,9,11,13,Semi-Furnished,0,1.21,16543000.0
Shahdara,Builder Floor,2,2,0,1665.4,26,7,16,Unfurnished,1,3.05,8055000.0
Paschim Vihar,Independent House,2,2,2,2234.7,15,5,10,Unfurnished,0,0.22,18199000.0
Dwarka,Builder Floor,1,1,1,1775.7,7,14,18,Fully-Furnished,1,1.85,14542000.0
Defence Colony,Apartment,3,3,1,1399.8,6,8,14,Fully-Furnished,1,0.75,28022000.0
Rohini,Builder Floor,3,3,2,1249.3,28,4,9,Unfurnished,0,4.57,6071000.0
Golf Links,Builder Floor,2,2,1,1620.3,8,9,11,Unfurnished,1,1.6,32090000.0
Saket,Apartment,3,3,0,1549.0,16,8,17,Semi-Furnished,2,0.24,18042000.0
Lajpat Nagar,Villa,2,2,0,3357.5,35,13,22,Unfurnished,2,1.43,31365000.0
Vasant Vihar,Apartment,3,3,2,1437.0,21,13,19,Semi-Furnished,1,3.47,26340000.0
Mayur Vihar,Independent House,3,3,0,1848.5,9,1,3,Semi-Furnished,1,0.37,11551000.0
Pitampura,Builder Floor,2,2,2,1099.2,10,7,14,Semi-Furnished,0,2.61,8220000.0
Chattarpur,Apartment,3,3,0,1396.3,34,0,5,Fully-Furnished,0,8.02,7091000.0
Uttam Nagar,Apartment,2,2,1,850.6,14,14,20,Fully-Furnished,0,1.41,4377000.0
Pitampura,Apartment,4,3,1,1137.1,4,2,9,Unfurnished,0,7.02,7792000.0
Rohini,Villa,2,2,2,3329.4,22,1,6,Unfurnished,0,0.28,19929000.0
Mayur Vihar,Apartment,2,2,1,1372.1,12,8,16,Unfurnished,1,2.17,8405000.0
Paschim Vihar,Builder Floor,1,1,2,1525.6,32,2,8,Semi-Furnished,2,1.37,9721000.0
Golf Links,Builder Floor,3,3,1,1242.6,19,14,23,Semi-Furnished,0,3.55,23515000.0
Pitampura,Apartment,4,4,2,736.9,5,0,5,Fully-Furnished,1,1.71,6516000.0
Uttam Nagar,Apartment,3,3,3,672.6,7,0,3,Fully-Furnished,1,4.1,3880000.0
Dwarka,Apartment,1,1,1,1567.2,16,2,9,Unfurnished,0,13.29,8117000.0
Model Town,Apartment,5,2,0,1019.5,33,0,1,Semi-Furnished,1,2.41,10568000.0
Defence Colony,Apartment,4,3,1,1692.2,10,7,15,Unfurnished,0,1.1,26895000.0
Uttam Nagar,Apartment,5,3,1,685.6,11,9,13,Fully-Furnished,0,0.26,3796000.0
Vasant Vihar,Builder Floor,3,3,1,1371.8,31,10,14,Unfurnished,0,2.62,19471000.0
Vikaspuri,Apartment,5,4,1,1256.8,5,9,15,Unfurnished,1,2.83,9701000.0
Paschim Vihar,Independent House,2,2,1,1105.3,14,1,8,Fully-Furnished,0,0.13,11041000.0
Najafgarh,Apartment,4,3,1,1180.6,19,13,15,Unfurnished,1,4.97,5882000.0
Chattarpur,Independent House,3,3,1,2019.5,4,14,16,Unfurnished,2,2.19,17863000.0
Saket,Apartment,5,2,1,979.0,38,10,17,Semi-Furnished,2,1.11,12395000.0
Hauz Khas,Builder Floor,4,3,3,1260.8,30,6,11,Semi-Furnished,0,0.43,14338000.0
Pitampura,Apartment,2,2,1,500.0,14,3,7,Fully-Furnished,1,1.92,3863000.0
Saket,Apartment,3,3,2,1167.2,7,11,20,Semi-Furnished,0,9.59,11639000.0
Karol Bagh,Independent House,3,3,1,2344.8,0,2,5,Unfurnished,1,2.58,24511000.0
Defence Colony,Builder Floor,3,3,1,1511.1,31,14,23,Unfurnished,0,1.7,18591000.0
Model Town,Builder Floor,4,3,1,1449.2,7,13,21,Semi-Furnished,1,0.53,17992000.0
Model Town,Independent House,1,1,2,1494.8,15,6,14,Semi-Furnished,0,1.29,11850000.0
Saket,Apartment,3,3,3,1012.7,21,3,6,Unfurnished,0,0.65,10317000.0
Karol Bagh,Villa,3,3,2,3849.8,25,8,12,Semi-Furnished,1,0.2,42622000.0
Pitampura,Apartment,2,2,1,878.0,19,3,8,Unfurnished,1,3.33,5135000.0
Dwarka,Builder Floor,2,2,0,1514.3,12,14,19,Unfurnished,0,2.36,9939000.0
Rohini,Independent House,4,3,1,2074.3,33,2,5,Semi-Furnished,1,2.13,13511000.0
Chattarpur,Apartment,3,3,2,1069.9,37,8,13,Fully-Furnished,1,2.55,6878000.0
Vikaspuri,Builder Floor,2,2,2,1254.7,5,14,15,Fully-Furnished,1,0.38,9608000.0
Vikaspuri,Apartment,5,3,2,817.2,35,8,12,Unfurnished,0,2.64,5979000.0
Najafgarh,Apartment,2,2,0,1347.0,39,10,16,Unfurnished,1,1.15,4415000.0
Karol Bagh,Builder Floor,4,4,0,1145.5,30,2,7,Fully-Furnished,2,1.69,10716000.0
Golf Links,Apartment,3,3,3,1440.8,1,14,22,Fully-Furnished,0,0.01,27246000.0
Dwarka,Independent House,4,3,0,1454.1,6,5,9,Unfurnished,0,0.29,12667000.0
Chattarpur,Builder Floor,3,3,2,1659.5,33,7,8,Unfurnished,1,1.09,10814000.0
Chattarpur,Apartment,2,2,2,1279.7,2,12,18,Unfurnished,1,1.09,8894000.0
Karol Bagh,Builder Floor,3,3,0,1365.9,3,4,9,Unfurnished,1,2.38,14245000.0
Model Town,Independent House,2,2,1,2171.9,12,2,8,Fully-Furnished,1,2.24,24628000.0
Greater Kailash,Apartment,3,3,0,802.5,23,12,18,Unfurnished,1,2.78,7751000.0
Janakpuri,Independent House,1,1,2,1888.2,14,3,4,Unfurnished,1,1.9,13568000.0
Najafgarh,Apartment,2,2,0,1293.9,5,3,10,Fully-Furnished,0,1.96,5410000.0
Mayur Vihar,Independent House,5,3,1,2269.4,14,2,11,Fully-Furnished,1,1.57,18051000.0
Vasant Vihar,Apartment,3,3,2,1914.5,2,10,16,Unfurnished,2,1.96,31204000.0
Shahdara,Apartment,3,3,1,1184.9,7,4,9,Semi-Furnished,1,2.49,6701000.0
Pitampura,Independent House,4,4,1,3040.6,15,3,11,Fully-Furnished,1,1.34,29927000.0
Golf Links,Apartment,3,2,0,992.5,9,1,8,Semi-Furnished,1,1.11,19051000.0
Chattarpur,Apartment,4,4,2,1536.4,24,11,20,Fully-Furnished,0,3.79,13192000.0
Greater Kailash,Builder Floor,4,4,2,1575.6,4,13,18,Fully-Furnished,1,0.89,24066000.0
Model Town,Apartment,3,3,2,989.4,27,1,7,Unfurnished,1,0.13,8677000.0
Rohini,Apartment,1,1,1,1386.6,33,11,19,Unfurnished,1,3.79,5220000.0
Mayur Vihar,Apartment,5,4,1,1605.7,14,4,12,Unfurnished,0,2.09,10510000.0
Golf Links,Apartment,3,3,1,1586.6,21,12,17,Fully-Furnished,1,0.13,30345000.0
Hauz Khas,Apartment,3,2,3,857.1,24,14,20,Unfurnished,2,0.25,12312000.0
Chattarpur,Apartment,1,1,1,1112.1,33,2,10,Unfurnished,2,1.32,6101000.0
Pitampura,Villa,3,3,0,3332.0,20,8,17,Semi-Furnished,2,0.65,24251000.0
Chattarpur,Villa,5,4,1,3721.1,21,10,12,Unfurnished,0,0.59,34231000.0
Karol Bagh,Apartment,2,2,2,533.1,36,3,5,Semi-Furnished,2,1.12,3927000.0
Chattarpur,Villa,4,2,2,2594.3,37,9,14,Fully-Furnished,1,13.53,17349000.0
Model Town,Independent House,3,3,0,1773.3,25,4,6,Semi-Furnished,0,0.96,19533000.0
Rohini,Independent House,2,2,3,2414.8,30,14,16,Unfurnished,1,0.58,13657000.0
Dwarka,Apartment,3,3,0,1081.3,2,1,7,Semi-Furnished,0,0.58,7484000.0
Chattarpur,Apartment,3,3,1,1053.4,14,0,1,Unfurnished,2,6.98,6232000.0
Janakpuri,Apartment,1,1,2,1061.0,35,8,12,Semi-Furnished,1,5.39,5787000.0
Dwarka,Apartment,2,2,0,1126.2,17,7,14,Fully-Furnished,2,0.95,7696000.0
Rohini,Independent House,5,5,0,2707.1,7,6,7,Unfurnished,2,2.39,18650000.0
Chattarpur,Builder Floor,3,3,1,1443.0,3,11,16,Unfurnished,0,0.22,11016000.0
Karol Bagh,Apartment,3,3,2,1339.6,25,9,11,Semi-Furnished,1,1.52,10006000.0
Lajpat Nagar,Builder Floor,2,2,2,1662.4,12,4,10,Unfurnished,1,4.05,15531000.0
Janakpuri,Apartment,4,4,3,968.1,10,8,14,Unfurnished,1,1.64,9054000.0
Najafgarh,Villa,2,2,1,2119.3,37,14,15,Semi-Furnished,0,1.56,8586000.0
Lajpat Nagar,Apartment,2,2,3,1228.0,5,1,3,Unfurnished,0,5.65,11750000.0
Uttam Nagar,Apartment,3,3,1,1194.7,18,0,4,Semi-Furnished,0,0.75,5971000.0
Chattarpur,Apartment,1,1,3,1472.7,16,12,16,Fully-Furnished,2,0.54,9769000.0
Model Town,Apartment,2,2,2,786.9,15,0,6,Semi-Furnished,1,1.16,6493000.0
Lajpat Nagar,Apartment,1,1,0,894.0,8,7,10,Unfurnished,0,0.68,6456000.0
Saket,Villa,2,2,2,2951.5,22,10,12,Semi-Furnished,1,3.85,34245000.0
Janakpuri,Apartment,4,4,0,1528.9,14,2,3,Unfurnished,1,0.24,12021000.0
Vikaspuri,Apartment,1,1,1,842.1,21,0,6,Semi-Furnished,1,5.24,5307000.0
Lajpat Nagar,Apartment,3,2,1,1225.6,25,7,10,Unfurnished,1,4.37,9207000.0
Najafgarh,Independent House,4,3,1,2378.1,37,2,11,Semi-Furnished,2,1.23,8951000.0
Janakpuri,Apartment,2,2,2,1439.2,28,8,14,Unfurnished,2,0.09,9884000.0
Pitampura,Builder Floor,2,2,2,863.2,1,12,17,Semi-Furnished,0,2.58,6379000.0
Chattarpur,Apartment,2,2,1,1226.3,1,3,7,Fully-Furnished,1,2.68,10149000.0
Rohini,Independent House,3,3,2,2398.3,14,8,9,Unfurnished,2,5.64,19057000.0
Shahdara,Apartment,2,2,1,1249.8,26,4,6,Unfurnished,1,0.53,5302000.0
Vasant Vihar,Builder Floor,3,3,2,1517.4,11,14,18,Semi-Furnished,1,1.67,34227000.0
Golf Links,Independent House,4,2,1,1956.1,4,0,1,Unfurnished,0,2.59,44477000.0
Defence Colony,Builder Floor,3,3,2,1568.4,12,11,13,Unfurnished,1,1.64,24099000.0
Rohini,Builder Floor,2,2,1,1454.9,21,13,22,Unfurnished,1,0.46,6449000.0
Saket,Apartment,4,3,2,1295.2,31,6,13,Semi-Furnished,1,0.14,17357000.0
Saket,Apartment,3,3,1,954.4,33,11,15,Unfurnished,1,0.34,8488000.0
Janakpuri,Villa,3,2,2,2436.3,17,5,7,Fully-Furnished,1,0.02,22708000.0
Paschim Vihar,Builder Floor,2,2,1,1117.4,18,8,15,Unfurnished,1,2.33,8195000.0
Dwarka,Builder Floor,1,1,2,1596.0,1,7,14,Semi-Furnished,0,2.08,11260000.0
Vikaspuri,Builder Floor,2,2,1,1821.3,18,10,14,Semi-Furnished,0,1.6,12231000.0
Golf Links,Builder Floor,2,2,0,1765.4,18,11,20,Unfurnished,1,0.72,32548000.0
Dwarka,Apartment,2,2,0,1010.0,5,1,3,Fully-Furnished,1,4.35,8227000.0
Chattarpur,Independent House,2,2,1,2447.4,17,0,6,Fully-Furnished,1,0.42,18677000.0
Janakpuri,Independent House,3,3,1,1963.1,10,6,13,Fully-Furnished,0,0.58,17957000.0
Saket,Builder Floor,3,3,1,1413.9,2,1,7,Semi-Furnished,0,0.29,19681000.0
Golf Links,Builder Floor,2,2,0,1378.8,26,6,12,Unfurnished,1,5.06,20844000.0
Vasant Vihar,Apartment,2,2,3,1494.1,37,0,8,Unfurnished,2,0.44,17415000.0
Vasant Vihar,Apartment,2,2,1,1552.5,20,11,12,Unfurnished,1,0.04,21818000.0
Dwarka,Apartment,3,3,1,1345.0,25,7,15,Unfurnished,2,1.08,8859000.0
Pitampura,Apartment,3,3,2,1222.4,9,10,15,Semi-Furnished,0,1.21,8070000.0
Uttam Nagar,Independent House,3,3,1,2495.0,13,7,12,Unfurnished,1,1.79,15771000.0
Hauz Khas,Independent House,2,2,1,1690.7,3,13,15,Unfurnished,0,2.73,26876000.0
Vikaspuri,Villa,2,2,0,3441.5,25,1,2,Fully-Furnished,2,1.44,31987000.0
Defence Colony,Apartment,4,3,1,736.2,13,9,11,Unfurnished,2,0.69,8722000.0
Defence Colony,Apartment,3,3,1,1128.8,1,14,21,Fully-Furnished,1,5.53,19944000.0
Vikaspuri,Builder Floor,2,2,1,1064.3,17,10,12,Unfurnished,0,3.96,5723000.0
Janakpuri,Apartment,2,2,3,935.3,34,0,6,Fully-Furnished,2,0.36,6609000.0
Golf Links,Independent House,3,3,2,2101.2,37,3,11,Unfurnished,1,1.72,42652000.0
Golf Links,Apartment,3,3,2,892.9,15,9,16,Fully-Furnished,1,5.55,16672000.0
Golf Links,Villa,1,1,2,3175.0,6,12,13,Fully-Furnished,1,3.25,84651000.0
Lajpat Nagar,Builder Floor,3,3,3,1825.7,23,5,7,Unfurnished,0,0.5,13740000.0
Defence Colony,Builder Floor,2,2,3,1026.5,33,2,7,Unfurnished,2,1.28,14612000.0
Pitampura,Apartment,2,2,2,646.8,2,1,4,Unfurnished,1,0.59,4145000.0
Hauz Khas,Apartment,2,2,3,849.6,27,4,12,Semi-Furnished,0,0.41,10882000.0
Hauz Khas,Apartment,5,3,2,1223.6,26,8,11,Unfurnished,0,7.79,14342000.0
Uttam Nagar,Apartment,2,2,1,1022.8,6,4,11,Unfurnished,1,1.84,4330000.0
Pitampura,Builder Floor,2,2,1,652.3,39,12,17,Unfurnished,2,0.09,3778000.0
Janakpuri,Builder Floor,4,3,0,1709.9,0,10,18,Fully-Furnished,1,1.26,14617000.0
Rohini,Apartment,1,1,2,1171.5,25,12,13,Semi-Furnished,1,4.52,6005000.0
Najafgarh,Independent House,5,2,1,1612.7,4,7,15,Semi-Furnished,1,2.35,9132000.0
Golf Links,Apartment,3,3,2,1383.3,20,4,10,Unfurnished,0,0.31,25737000.0
Karol Bagh,Apartment,2,2,1,1107.5,33,2,10,Semi-Furnished,1,1.12,8076000.0
Paschim Vihar,Builder Floor,3,2,3,1808.8,6,3,4,Fully-Furnished,1,0.18,16221000.0
Vasant Vihar,Builder Floor,3,3,1,1347.7,32,3,12,Fully-Furnished,1,1.18,21680000.0
Karol Bagh,Villa,3,3,2,2478.7,25,9,15,Semi-Furnished,0,2.87,25853000.0
Karol Bagh,Apartment,3,3,0,1659.2,0,12,15,Unfurnished,0,0.62,15738000.0
Greater Kailash,Apartment,2,2,0,1098.7,2,10,12,Semi-Furnished,1,4.96,16711000.0
Janakpuri,Apartment,3,3,1,1037.0,13,10,17,Fully-Furnished,1,2.35,9071000.0
Saket,Apartment,3,3,2,745.6,29,2,3,Semi-Furnished,1,0.16,7806000.0
Najafgarh,Apartment,2,2,1,1411.2,28,9,18,Fully-Furnished,2,0.21,5623000.0
Hauz Khas,Apartment,3,3,2,1567.2,14,4,13,Unfurnished,2,2.94,19025000.0
Paschim Vihar,Builder Floor,4,3,0,1988.9,0,5,13,Unfurnished,2,1.87,14863000.0
Paschim Vihar,Builder Floor,2,2,1,1034.0,0,7,15,Fully-Furnished,0,0.41,8345000.0
Saket,Builder Floor,2,2,3,1576.0,10,11,19,Semi-Furnished,2,2.4,19260000.0
Najafgarh,Builder Floor,3,2,1,1268.4,9,10,13,Unfurnished,2,1.85,4851000.0
Hauz Khas,Apartment,3,2,0,1053.7,30,2,7,Semi-Furnished,0,7.76,11356000.0
